base,en,fr
add,Add,Ajouter
code_execution,Code execution,Exécution du code
create_settings_file,Create a settings file,Créer un fichier de sauvegarde
delete,Delete,Supprimer
delete_settings_file_text,Confirm deletion of the settings file?,Confirmer la suppression du fichier de sauvegarde ?
delete_settings_file_title,Delete a settings file,Supprimer un fichier de sauvegarde
display,Display,Affichage
display_figure,Display figure,Afficher la figure
dont_delete,Cancel,Annuler
error_displaying_figure,Error displaying figure,Erreur lors de l'affichage de la figure
figure_and_settings_side_by_side,Figure and settings/editor side by side,Figure et paramètres/éditeur côte à côte
file,File,Fichier
file_name,File name,Nom du fichier
name_already_used,This name is already used,Ce nom est déjà utilisé
new_settings_file_added,New settings file added,Nouveau fichier de sauvegarde des paramètres ajouté
no_settings_file_selected,No settings file selected,Pas de fichier de sauvegarde sélectionné
provide_valid_name,Provide valid name,Nom valide requis
run_code_at_settings_file_load,Run code when a settings file is loaded,Exécuter le code au chargement d'un fichier de sauvegarde
run_code_on_data_update,Run code on data update,Exécuter le code lors de la mise à jour des données
save_figure_settings_and_code,Save,Sauvegarder
save_general_settings,Save general settings,Sauvegarder les paramètres généraux
settings_file_deleted,Settings file deleted,Fichier de sauvegarde des paramètres supprimé
show_code_editor,Edit figure code,Editer le code de la figure
show_figure,Figure,Figure
show_figure_settings,Set up the figure,Paramétrer la figure
show_general_settings,General settings,Paramètres généraux
show_settings_file,Show settings file,Afficher le fichier de sauvegarde
notes,Notes,Notes
keyword_search,Keyword search,Recherche par mots-clés
layout,Layout,Mise en page
chatbot,Chatbot,Chatbot
category,Category,Catégorie
title,Title,Titre
datetime,Datetime,Date & heure
display_raw_text,Display raw text,Afficher le texte brut
llm_provider,Provider,Plateforme
llm_model,Model,Modèle
packages_ellmer_ollamar_needed,Packages ellmer and ollamar required. Install these packages and restart the application., Packages ellmer et ollamar requis. Installez-les et redémarrez l'application.
select_llm_model,Select a model,Sélectionner un modèle
select_llm_provider,Select a provider,Sélectionner une plateforme
send,Send,Envoyer
clear_chat,Clear chat,Effacer le chat
include_notes,Include notes,Inclure des notes
none,None,Aucune
selected_note,Selected note,Note sélectionnée
all_notes,All notes,Toutes les notes
select_a_patient,Select a patient,Sélectionnez un patient
search_word_sets,Search these word sets,Rechercher ces sets de mots
create_word_set,Create a word set,Créer un set de mots
manage_word_sets,Manage word sets,Gérer les sets de mots
word_set_name,Word set name,Nom du set de mots
edit_word_set,Edit a word set,Edier un set de mots
add_new_word,Add a new word,Ajouter un mot
delete_word_set_text,Confirm deletion of the word set?,Confirmer la suppression du set de mots ?
delete_word_set_title,Delete a word set,Supprimer un set de mots
word_set_deleted,Word set deleted,Set de mots supprimé
filter_notes_with_matches,Filter notes with matches,Filtrer les notes avec des correspondances
